model,auroc_mean,auroc_std,auroc_min,auroc_max,auprc_mean
Logistic Regression,0.7528741329632744,0.023274565551688678,0.7223519499277805,0.8047305561008017,0.47007153384564904
Random Forest,0.7790422429917706,0.014119620829053034,0.7520175978384649,0.8031699657260196,0.5275428846817798
Gradient Boosting,0.7745372527510395,0.011577759246011099,0.7525415444770284,0.8031359937189535,0.5130466440058611
SVM,0.7696633334880342,0.017689976554489967,0.739584999555674,0.8053823805344551,0.5129928221229179
KNN,0.691156655350687,0.014089885502519939,0.6608243639005611,0.7144251429954906,0.3788928183433196
