feature_set,model,n_features,n,AUROC_mean,AUROC_lo,AUROC_hi,AUPRC_mean,AUPRC_lo,AUPRC_hi
A. care unit only,Logistic Regression,1,3994,0.7592565378997027,0.7195042156534471,0.8025023080974205,0.39952450632369596,0.32783679592672665,0.4782422114790927
A. care unit only,Random Forest,1,3994,0.7588890316078101,0.7203976934698446,0.7984643203864824,0.39934099567287507,0.3270985734870403,0.4782422114790927
B. context only,Logistic Regression,4,3994,0.8002599525445407,0.7663324633061692,0.8414485511123848,0.5054328331231558,0.4101513630606788,0.6060897432976223
B. context only,Random Forest,4,3994,0.798121534404983,0.7684309418309504,0.8383209422949282,0.48831277118899963,0.40913999777751636,0.5925871986970942
C. clinical only (paper model),Logistic Regression,42,3994,0.7458420288591303,0.7001073577379539,0.7888771287857866,0.4274436957210914,0.3554142445516718,0.5144621411651842
C. clinical only (paper model),Random Forest,42,3994,0.7730191783580272,0.7270647204603634,0.8110318045057484,0.505067407440163,0.41272961446818074,0.5922098314901647
D. clinical + context,Logistic Regression,46,3994,0.8180579145245933,0.7834206484347127,0.854210789468242,0.5612335313695971,0.47059117065770184,0.6544380130373617
D. clinical + context,Random Forest,46,3994,0.8230491036904319,0.7754414741625525,0.8610093571217224,0.5809178752352069,0.4752183505440672,0.6761916866692568
