feature_set,model,n_features,n,AUROC_mean,AUROC_lo,AUROC_hi,AUPRC_mean,AUPRC_lo,AUPRC_hi
A. care unit only,Logistic Regression,1,4387,0.7862293908975311,0.7508119748855433,0.8228188415563449,0.4916611437761428,0.41617796189677264,0.5625844602363469
A. care unit only,Random Forest,1,4387,0.7860404096159758,0.7468936327222512,0.8201112758149627,0.4919286072176417,0.41750882994416727,0.5628554138635028
B. context only,Logistic Regression,4,4387,0.8161068444220234,0.7787034485458261,0.8498029189752939,0.5721603541229774,0.4936530410516335,0.6573526731603174
B. context only,Random Forest,4,4387,0.8156298866189071,0.7813167470371114,0.8493187014906722,0.5664857484076087,0.4858559162534607,0.6524123971822523
C. clinical only (paper model),Logistic Regression,42,4387,0.7514755647333122,0.7147362541084042,0.7873386791542558,0.4742107280272535,0.3936541769570526,0.5433437042132064
C. clinical only (paper model),Random Forest,42,4387,0.7779310060633223,0.7437354799058296,0.8090514643961288,0.5343999385898249,0.45650584565897334,0.6197135196713907
D. clinical + context,Logistic Regression,46,4387,0.833230419475356,0.8006504393386951,0.8639122305093542,0.610923185603,0.5261330432540234,0.6825607030855669
D. clinical + context,Random Forest,46,4387,0.8305759433771192,0.7966816923827937,0.8629961004445956,0.6101075812367842,0.5300920132113495,0.6909401818360409
