held_out_unit,n,positive_rate,AUROC,AUPRC
Medical Intensive Care Unit (MICU),1303,0.08135072908672294,0.5423306694408978,0.08875506009797955
Surgical Intensive Care Unit (SICU),1043,0.4678811121764142,0.7373504652193177,0.6718235064556287
Medical/Surgical Intensive Care Unit (MICU/SICU),695,0.08633093525179857,0.6031496062992125,0.16338398893437872
Coronary Care Unit (CCU),360,0.08333333333333333,0.541010101010101,0.13386779235826773
Trauma SICU (TSICU),313,0.22364217252396165,0.7960023515579071,0.5815410262546917
Cardiac Vascular Intensive Care Unit (CVICU),280,0.025,0.4924123495552067,0.03819010366120605
Neuro Intermediate,171,0.5906432748538012,0.5132956152758134,0.5998994004337084
Neuro Stepdown,161,0.6956521739130435,0.5843658892128281,0.7778031680461034
Neuro Surgical Intensive Care Unit (Neuro SICU),61,0.4918032786885246,0.5311827956989248,0.5714902144257583
