model,AUROC_mean,AUROC_lo,AUROC_hi,AUPRC_mean,AUPRC_lo,AUPRC_hi,Accuracy_mean,Accuracy_lo,Accuracy_hi,Brier_mean,Brier_lo,Brier_hi
Logistic Regression,0.7514755647333122,0.7147362541084042,0.7873386791542558,0.4742107280272535,0.3936541769570526,0.5433437042132064,0.6843743580827841,0.6544286153652036,0.7103448275862069,0.2014770189010976,0.19108879732524356,0.2153450163481719
Random Forest,0.7779310060633223,0.7437354799058296,0.8090514643961288,0.5343999385898249,0.45650584565897334,0.6197135196713907,0.750450196641199,0.7171593900105911,0.7737450404368562,0.1805593632407574,0.17229854863461014,0.19110293046910076
Gradient Boosting,0.7701969846962444,0.7310113653977659,0.8038803656090748,0.513973646666265,0.43976173325556894,0.5928857647542335,0.7950110878728155,0.7693537556208989,0.8229518131651556,0.14526101559105425,0.1279282798203454,0.16207890915398504
SVM,0.7699196948379107,0.7356708851686524,0.79960503400586,0.5183782707480128,0.46078234129537127,0.5883693136601342,0.7187802092508746,0.690192112557541,0.7444069493331611,0.1440667257330748,0.12820137783030117,0.15977160870875529
KNN,0.6899278869309242,0.6528321261564969,0.7221280917825426,0.38094084374438175,0.312746934478825,0.4380554831285866,0.7553787028697501,0.727105502099701,0.7824468511068317,0.17757200124555234,0.16323331979600283,0.19275796168114734
